"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"743","GB","GB-S2A-064","have to","spoken","leg","OBJ","OBJ","third",-1,1
"744","GB","GB-S2A-021","have to","spoken","unsp","SUB","OBJ","third",0,1
"745","GB","GB-S1B-078","have to","spoken","btran","X","SUB","third",0.5,1
"746","GB","GB-W2D-014","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"747","GB","GB-S2A-040","need to","spoken","unsp","SUB","OBJ","third",0,1
"748","GB","GB-S1B-071","(have) got to","spoken","btran","OBJ","OBJ","third",-1,1
"750","GB","GB-W2F-015","need to","written","nov","OBJ","OBJ","third",-1,-1
"751","GB","GB-S1B-036","(have) got to","spoken","bdis","SUB","SUB","third",1,1
"753","GB","GB-S2B-012","(have) got to","spoken","bnew","OBJ","OBJ","third",-1,1
"758","GB","GB-W2C-016","have to","written","rep","OBJ","OBJ","third",-1,-1
"759","GB","GB-W2B-040","need to","written","PTec","OBJ","OBJ","third",-1,-1
"761","GB","GB-W2A-016","need to","written","ASoc","OBJ","OBJ","third",-1,-1
"762","GB","GB-W2C-020","have to","written","rep","OBJ","OBJ","third",-1,-1
"764","GB","GB-W2A-017","need to","written","ASoc","SUB","SUB","third",1,-1
"765","GB","GB-S1B-030","need to","spoken","bdis","SUB","OBJ","first",0,1
"768","GB","GB-W2A-020","need to","written","ASoc","SUB","SUB","third",1,-1
"769","GB","GB-W2B-020","have to","written","PSoc","SUB","OBJ","third",0,-1
"770","GB","GB-S2A-035","have to","spoken","unsp","OBJ","SUB","third",0,1
"771","GB","GB-S1B-043","have to","spoken","bint","SUB","SUB","third",1,1
"772","GB","GB-W2C-008","have to","written","rep","SUB","SUB","third",1,-1
"773","GB","GB-S2B-038","have to","spoken","btal","OBJ","X","third",-0.5,1
"775","GB","GB-W2B-017","need to","written","PSoc","OBJ","OBJ","third",-1,-1
"777","GB","GB-W2E-002","have to","written","ed","OBJ","OBJ","third",-1,-1
"783","GB","GB-S1B-027","have to","spoken","bdis","OBJ","SUB","third",0,1
"784","GB","GB-S2A-049","need to","spoken","unsp","OBJ","SUB","third",0,1
"785","GB","GB-S2B-024","have to","spoken","btal","OBJ","OBJ","third",-1,1
"786","GB","GB-S1B-041","(have) got to","spoken","bint","SUB","SUB","third",1,1
"788","GB","GB-S2A-054","have to","spoken","dem","OBJ","OBJ","third",-1,1
"789","GB","GB-W2B-030","have to","written","PNat","OBJ","OBJ","third",-1,-1
"790","GB","GB-S2B-037","have to","spoken","btal","SUB","X","third",0.5,1
"791","GB","GB-S2A-046","need to","spoken","unsp","OBJ","SUB","third",0,1
"792","GB","GB-S2A-027","need to","spoken","unsp","SUB","SUB","third",1,1
"794","GB","GB-S2B-028","have to","spoken","btal","SUB","SUB","third",1,1
"795","GB","GB-S2B-040","have to","spoken","btal","SUB","SUB","third",1,1
